10
20
3
right
0
14,8,up;14,8,up;18,4,left;
000000;000000;000000;000000;000000;000000;000000;000000;000000;000000;
000000;011000;010000;010000;010000;111000;010000;010100;011000;000000;
000000;010000;000000;000000;000000;010000;000000;000000;010100;000000;
000000;010100;000000;000000;000000;010100;000000;000000;010000;000000;
000000;010000;000000;000000;000000;010000;000000;000000;010100;000000;
000000;010100;000000;000000;000000;010100;000000;000000;010000;000000;
000000;011000;010100;010000;010100;011000;010100;010000;011100;000000;
000000;010100;000000;000000;000000;010100;000000;000000;010000;000000;
000000;010000;000000;000000;000000;010000;000000;000000;010100;000000;
000000;010100;000000;000000;000000;010100;000000;000000;010000;000000;
000000;010000;000000;000000;000000;010000;000000;000000;010100;000000;
000000;010100;000000;000000;000000;010100;000000;000000;010000;000000;
000000;011000;010100;010000;010100;011000;010100;010000;011100;000000;
000000;010100;000000;000000;000000;010100;000000;000000;010000;000000;
000000;010000;000000;000000;000000;010000;000000;000000;010110;000000;
000000;010100;000000;000000;000000;010100;000000;000000;010000;000000;
000000;010000;000000;000000;000000;010000;000000;000000;010100;000000;
000000;010100;000000;000000;000000;010100;000000;000000;010000;000000;
000000;011000;010100;010000;010110;011001;010100;010000;011100;000000;
000000;000000;000000;000000;000000;000000;000000;000000;000000;000000;
